name,calories,protein,carbs,fat,fiber
Sesame ladoo (Til ke ladoo),396.96,10.7,43.5,19.64,7.72
Chenna murki,252.69,10.46,36.01,8.2,0.0
Milk cake,127.41,3.01,9.13,8.93,0.06
Ghujia/Lavang latika,768.98,1.86,13.0,78.93,0.52
Gulab Jamun with khoya,586.06,2.03,26.09,53.23,0.07
Mal pua,566.68,1.71,17.56,54.64,0.62
Shahi tukre,189.81,2.76,41.46,2.54,0.51
Potato pakora/pakoda (Aloo pakoda),677.19,1.9,6.04,71.84,1.03
Onion pakora/pakoda (Pyaaz ke pakode),674.61,1.9,5.41,71.84,1.11
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,1.98,4.52,71.86,1.26
Mixed vegetable pakora/pakoda,673.81,1.94,5.12,71.86,1.13
Spinach pakora/pakoda (Palak pakoda),712.62,1.96,4.68,76.38,1.02
Methi pakora/pakoda (Methi ke pakode),713.25,2.06,4.68,76.39,1.18
Egg pakora/pakoda (Ande ke pakode),710.51,2.83,4.48,75.86,0.86
Bread pakora/pakoda,710.99,2.57,8.87,74.2,1.11
Paneer pakora/pakoda,718.12,3.27,5.52,76.05,0.89
Potato bonda (Aloo bonda),632.84,1.09,4.53,67.8,0.83
Potato samosa (Aloo ka samosa),577.39,1.71,9.21,59.19,1.19
Minced meat samosa (Keema ka samosa),620.99,4.43,6.14,64.26,0.39
Paneer and pea samosa (Paneer matar ka samosa),623.81,4.02,8.55,63.65,1.02
Mathri,805.12,1.75,12.32,83.1,0.6
Khasta kachori,712.73,2.51,12.81,72.27,0.97
Vegetable cutlet,665.45,1.25,4.68,71.33,0.93
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,1.76,7.39,73.89,0.86
Peanut cutlet (Mungfali ke cutlet),698.77,2.63,5.68,74.0,1.21
Fish cutlet (Machli ka cutlet),654.64,2.77,3.13,70.11,0.54
Paneer potato cutlet (Paneer aloo cutlet),672.94,2.47,5.23,71.4,0.41
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,1.44,4.93,73.6,0.93
Cheese toast,785.37,1.98,5.49,84.11,0.31
Vegetable burger,519.93,3.26,13.69,50.63,1.7
Cheese pizza,249.5,5.79,30.62,12.43,1.95
Vegetable seekh kebab,690.73,1.57,5.32,73.72,0.59
Masala vada,826.02,1.69,4.06,89.15,1.07
Peanut sago vada (Sabudana mungfali vada),749.89,1.01,7.14,79.82,0.62
Vegeterian scotch egg,681.67,2.16,4.64,72.77,0.58
Paneer shaslik/tikka,93.85,5.11,7.98,4.49,1.23
Peanut brittle (Moongfali ki chikki),320.46,6.94,47.46,11.13,2.63
Spring roll,623.87,1.81,8.56,64.63,0.67
Dry mango chutney (Sookhe aam ki chutney),298.13,2.43,69.17,0.7,3.74
Peanut chutney (Mungfali ki chutney),258.37,11.8,9.87,19.06,5.73
Coconut chutney (Nariyal ki chutney),265.92,3.59,8.29,25.0,6.73
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.6,2.81,21.18,0.51,4.33
Custard tart,225.6,3.72,28.66,10.73,0.91
Lemon tart,303.35,6.12,30.68,17.45,0.81
Jam tart,360.72,4.42,46.18,17.35,1.14
